filename,repeticao,L,a,b
c0,1,80.51,13.13,18.14
c0,2,81.12,14.07,18.53
c0,3,86.53,13.84,20.39
e1,1,86.07,13.03,17.19
e1,2,88.72,14.47,20.13
e1,3,86,13.14,17.94
e2,1,88.43,12.76,16.83
e2,2,88.91,14.51,18.03
e2,3,89.99,13.72,17.69
e3,1,85.71,13.38,18.05
e3,2,85.13,14.08,18.58
e3,3,87.41,14.86,19.99
e4,1,81.48,14.08,20.38
e4,2,82.98,13.84,18.53
e4,3,81.58,14.65,19.33
e5,1,85.96,13.36,17.32
e5,2,81.36,16.92,19.71
e5,3,81.58,14.38,20.35
e6,1,74.42,16.8,20.59
e6,2,76.8,13.68,17.53
e6,3,77.48,13.99,19.14
e7,1,83.71,13.99,20.01
e7,2,85.78,14.51,20.48
e7,3,84.91,15.21,19.62
e8,1,85.75,18.29,22.17
e8,2,88.12,14.15,18.69
e8,3,83.93,15.65,20.64
e9,1,85.22,15.55,21.47
e9,2,84.55,16.09,21.58
e9,3,85.07,16.06,19.44
e10,1,83.65,16.15,20.18
e10,2,81.96,14.05,20.46
e10,3,83.1,17.18,21.39
e11,1,81.07,13.43,19.27
e11,2,77.76,14.94,19.7
e11,3,80.73,14.24,20.17
e12,1,78.49,14.04,20.07
e12,2,73.58,18.72,20.98
e12,3,79.01,13.4,17.22
e13,1,88.07,14.32,19.77
e13,2,89.92,13.33,17.72
e13,3,82.48,14.26,18.52
e14,1,89.32,13.57,17.89
e14,2,89.23,13.58,17.88
e14,3,79.48,14.33,18.76
e15,1,79.88,13.86,19.34
e15,2,79.39,12.68,16.9
e15,3,81.68,14.44,17.39
e16,1,78.92,14.97,19.72
e16,2,81.93,14.02,18.93
e16,3,76.44,16,19.23
e17,1,81.82,15.22,19.64
e17,2,83.58,14.2,19.58
e17,3,80.21,15.36,19.25
e18,1,69.59,13.53,17.44
e18,2,72.84,13.14,17.48
e18,3,77.78,14.7,18.67
e19,1,80.5,15.07,19.46
e19,2,81.86,14.95,23.03
e19,3,80.68,13.63,17.65
e20,1,66.1,14.27,17.83
e20,2,66.54,14.19,19.05
e20,3,72.61,13.57,17.39
e21,1,78.52,15.56,21.14
e21,2,73.38,14.66,18.32
e21,3,76.82,19.1,22.27
e22,1,74.54,12.48,16.73
e22,2,76.78,12.2,16.23
e22,3,79.83,12.56,15.84
e23,1,71.34,11.05,15.27
e23,2,76.82,12.57,16.25
e23,3,75.7,11.65,16.84
e24,1,73.01,14.34,19.04
e24,2,73.82,14.72,18.91
e24,3,74.91,15.38,19.65
e25,1,73.76,16.79,21.58
e25,2,64.22,16.71,19.28
e25,3,70.36,15.19,18.92
e26,1,64.65,19.04,21.7
e26,2,60.19,18.39,17.91
e26,3,62.88,20.06,19.89
e27,1,63.66,19.64,20.99
e27,2,67.55,21.72,21.01
e27,3,68.91,18.19,19.17
e28,1,63.69,18.99,17.97
e28,2,64.06,18.92,19.28
e28,3,63.34,18.47,19.47
e29,1,57.7,26.54,22.66
e29,2,52.58,24.45,20.53
e29,3,52.42,22.84,17.88
e30,1,63.02,23.55,21.72
e30,2,62.24,20.93,18.87
e30,3,65.98,28.45,24.49
e31,1,55.86,22.48,18.54
e31,2,51.18,22.38,19.14
e31,3,58.42,20.38,18.13
e32,1,72.55,16.93,21.04
e32,2,68.78,16.9,19.32
e32,3,72.38,16.69,20.1
e33,1,78.77,11.87,13.62
e33,2,81.39,11.51,13.68
e33,3,79.8,11.88,16.04
e34,1,74.4,11.04,14.24
e34,2,73.42,11.04,13.51
e34,3,73.22,10.71,13.35
e35,1,89.52,11.9,14.74
e35,2,84.25,12.41,12.52
e35,3,83.59,11.99,12.38
e36,1,85.01,12.5,16.15
e36,2,86.24,12.9,16.06
e36,3,83.75,12.12,12.19
e37,1,62.93,28.14,21.56
e37,2,60.8,28.17,21.03
e37,3,61.19,24.14,22.09
e38,1,64.7,21.71,23.1
e38,2,61.2,23.56,20.74
e38,3,57.85,23.65,21.57
e39,1,57.15,29.2,20.66
e39,2,53.43,28.98,20.59
e39,3,57.4,24.13,19.23
e40,1,67.98,19.85,20.34
e40,2,63.63,22.31,22.54
e40,3,64.72,23.61,19.75
e41,1,54.23,26.6,21.02
e41,2,58.15,24.94,21.16
e41,3,51.44,20.64,17.66
e42,1,53.99,24.19,19.67
e42,2,51.61,22.94,20.49
e42,3,53.01,22.29,19.88
e43,1,80.89,12.6,16.91
e43,2,82.95,13.64,17.61
e43,3,85.42,13.9,16.52
e44,1,81.14,12.53,17.25
e44,2,82.35,12.41,17.31
e44,3,80.44,12.54,17.19
e45,1,84.15,13.68,17.01
e45,2,84.72,13.19,17.28
e45,3,84.21,13.72,19.26
e46,1,77.89,16.38,20.67
e46,2,70.63,16.29,22.54
e46,3,75.37,19.7,21.03
e47,1,76.84,16.71,21.92
e47,2,70.67,17.45,19.66
e47,3,70.42,16.31,19.96
e48,1,68.81,15.31,19.06
e48,2,66.11,15.72,19.23
e48,3,64.84,17,19.18
e49,1,66.68,19.23,20.46
e49,2,65.07,20.09,18.82
e49,3,62.34,20.1,19.73
e50,1,67.28,21.86,22.25
